review_id,order_id,review_date,rating,review_text
1,72983,2024-04-29,3,"Average experience, nothing special."
2,94498,2025-08-23,5,"Early delivery, pleasantly surprised."
3,24285,2024-07-17,5,"Early delivery, pleasantly surprised."
4,11426,2023-10-25,4,"Great experience, will order again."
5,480,2025-09-05,4,Packaging was good and product as described.
6,72057,2024-04-28,5,"Courteous delivery person, smooth experience."
7,28391,2024-05-13,5,Packaging was good and product as described.
8,1470,2025-04-27,3,Delivery was okay.
9,47949,2024-05-28,5,Packaging was good and product as described.
10,20496,2023-08-22,3,Product fine but delivery tracking was confusing.
11,92749,2023-05-09,4,"Fast delivery, happy with the courier."
12,88149,2025-05-27,3,"Average experience, nothing special."
13,91086,2024-03-06,5,"Early delivery, pleasantly surprised."
14,11946,2023-04-15,4,"Courteous delivery person, smooth experience."
15,67653,2024-11-17,5,Packaging was good and product as described.
16,90772,2024-04-17,4,"Early delivery, pleasantly surprised."
17,28740,2023-07-28,5,"Fast delivery, happy with the courier."
18,52062,2023-01-26,4,"Great experience, will order again."
19,77321,2025-03-16,5,"Delivered on time, excellent service."
20,70517,2023-06-23,5,"Great experience, will order again."
21,77091,2025-05-09,5,"Delivered on time, excellent service."
22,86117,2025-07-22,2,Delivery was delayed without updates.
23,43427,2024-08-16,1,Packaging was torn and item missing parts.
24,21657,2025-06-28,3,Timely but packaging could be better.
25,75510,2024-08-06,3,Timely but packaging could be better.
26,96770,2024-07-10,5,"Delivered on time, excellent service."
27,25225,2023-08-12,2,Poor communication from courier.
28,38719,2023-03-08,5,Packaging was good and product as described.
29,27106,2025-02-15,1,Delivery person was rude.
30,15643,2025-01-11,4,Packaging was good and product as described.
31,54465,2024-04-10,4,"Early delivery, pleasantly surprised."
32,3344,2025-04-07,4,"Courteous delivery person, smooth experience."
33,68862,2023-03-17,5,"Courteous delivery person, smooth experience."
34,94414,2023-06-01,5,"Fast delivery, happy with the courier."
35,82504,2025-05-31,5,"Fast delivery, happy with the courier."
36,15112,2024-07-28,2,Packaging was torn and item missing parts.
37,387,2024-07-02,5,Packaging was good and product as described.
38,58056,2024-09-16,3,Delivery was okay.
39,65359,2024-12-17,3,"Average experience, nothing special."
40,14288,2025-09-26,4,"Courteous delivery person, smooth experience."
41,76947,2023-05-09,3,Timely but packaging could be better.
42,63212,2024-07-20,3,Product fine but delivery tracking was confusing.
43,73101,2023-03-07,4,"Early delivery, pleasantly surprised."
44,36065,2024-10-20,5,"Delivered on time, excellent service."
45,68,2025-07-30,5,Packaging was good and product as described.
46,99353,2025-04-13,3,Product fine but delivery tracking was confusing.
47,67524,2023-08-26,1,Package arrived late and damaged.
48,26556,2024-11-08,5,"Early delivery, pleasantly surprised."
49,65866,2023-02-10,5,"Fast delivery, happy with the courier."
