record_id,date,city,category,demand_index,campaign_flag
1,2025-09-11,Ahmedabad,Furniture,0.764,False
2,2025-05-25,Agra,Grocery,1.225,True
3,2025-03-03,Jodhpur,Fashion-Women,2.4,True
4,2024-08-18,Hyderabad,Beauty & Personal Care,2.36,True
5,2023-12-10,Jodhpur,Jewellery,0.89,True
6,2023-12-17,Varanasi,Office Products,1.196,False
7,2023-02-04,Thane,Office Products,4.724,True
8,2025-08-17,Mumbai,Fashion-Women,0.993,False
9,2023-06-24,Ranchi,Industrial Supplies,3.065,True
10,2024-05-29,Bengaluru,Sports & Fitness,1.287,False
11,2024-04-14,Ranchi,Books,1.027,False
12,2023-12-03,Howrah,Appliances,1.054,False
13,2023-11-07,Thane,Beauty & Personal Care,1.449,False
14,2024-05-05,Faridabad,Office Products,0.617,False
15,2024-05-05,Bengaluru,Automotive,0.972,False
16,2024-10-31,Coimbatore,Health,0.779,False
17,2024-06-17,Pimpri-Chinchwad,Beauty & Personal Care,0.987,False
18,2024-06-25,Thane,Pet Supplies,3.38,True
19,2023-02-14,Meerut,Footwear,1.186,True
20,2023-01-02,Pune,Electronics,1.011,False
21,2023-05-09,Moradabad,Office Products,1.048,False
22,2023-07-01,Surat,Furniture,0.882,False
23,2024-10-14,Kanpur,Home & Kitchen,0.673,False
24,2024-06-28,Pune,Home & Kitchen,0.887,False
25,2025-07-25,Ghaziabad,Stationery,0.753,True
26,2023-05-07,Chandigarh,Home & Kitchen,2.082,True
27,2025-03-25,Mumbai,Jewellery,1.234,False
28,2025-06-24,Lucknow,Beauty & Personal Care,1.023,False
29,2024-01-30,Mumbai,Mobile & Accessories,0.782,False
30,2023-12-10,Surat,Footwear,0.931,False
31,2023-07-13,Hyderabad,Jewellery,2.447,True
32,2025-07-17,Varanasi,Appliances,1.153,False
33,2024-08-29,Pune,Jewellery,1.01,False
34,2023-08-09,Ahmedabad,Fashion-Men,0.81,False
35,2025-09-20,Mangalore,Office Products,0.734,False
36,2025-05-31,Ghaziabad,Stationery,2.648,True
37,2023-09-23,Ghaziabad,Home & Kitchen,1.219,False
38,2023-08-31,Gurugram,Pet Supplies,0.939,False
39,2025-05-21,Rajkot,Footwear,1.49,True
40,2025-01-02,Bhubaneswar,Toys & Baby,0.838,False
41,2023-08-14,Bhiwandi,Appliances,1.407,True
42,2024-02-06,Patna,Home & Kitchen,1.004,False
43,2025-04-13,Hyderabad,Books,1.014,False
44,2024-09-04,Bhiwandi,Toys & Baby,1.035,False
45,2025-09-30,Bhopal,Beauty & Personal Care,1.081,False
46,2025-05-31,Thane,Books,1.087,False
47,2023-09-04,Meerut,Automotive,1.033,False
48,2024-12-14,Kanpur,Stationery,0.896,False
49,2024-03-24,Chandigarh,Health,0.928,False
50,2024-10-22,Howrah,Automotive,1.161,False
51,2024-03-16,Vasai-Virar,Industrial Supplies,0.978,False
52,2023-12-04,Pune,Furniture,1.1,False
53,2025-02-10,Madurai,Furniture,0.676,False
54,2023-10-22,Bhiwandi,Fashion-Men,4.521,True
55,2023-11-30,Nashik,Stationery,1.001,False
56,2025-08-11,Srinagar,Jewellery,0.777,False
57,2025-05-08,Vijayawada,Automotive,1.133,False
58,2024-03-03,Allahabad,Mobile & Accessories,1.171,False
59,2025-04-14,Jabalpur,Books,1.262,False
60,2024-01-08,Dhanbad,Footwear,0.946,True
61,2025-02-01,Ghaziabad,Furniture,1.059,False
62,2025-06-25,Amritsar,Fashion-Women,0.819,False
63,2024-08-04,Bhopal,Furniture,0.997,False
64,2023-07-27,Jodhpur,Office Products,0.911,True
65,2024-07-04,Raipur,Toys & Baby,1.016,False
66,2025-05-04,Bhopal,Books,1.071,False
67,2023-07-13,Srinagar,Toys & Baby,0.644,False
68,2024-08-25,Meerut,Fashion-Women,0.644,False
69,2023-01-14,Jaipur,Industrial Supplies,0.626,False
70,2024-06-28,Meerut,Beauty & Personal Care,1.308,False
71,2025-07-15,Mangalore,Grocery,1.772,True
72,2023-11-27,Delhi,Books,3.52,True
73,2023-11-24,Varanasi,Beauty & Personal Care,0.943,False
74,2023-10-14,Nashik,Sports & Fitness,0.789,False
75,2025-03-24,Amritsar,Jewellery,1.363,False
76,2024-08-09,Srinagar,Stationery,1.52,True
77,2023-05-01,Vijayawada,Sports & Fitness,0.838,False
78,2024-07-09,Indore,Fashion-Men,1.272,False
79,2024-09-29,Chandigarh,Sports & Fitness,1.202,False
80,2024-11-10,Agra,Furniture,0.901,False
81,2024-02-18,Patna,Home & Kitchen,1.137,False
82,2023-12-20,Lucknow,Industrial Supplies,0.809,False
83,2025-06-16,Gwalior,Pet Supplies,1.046,False
84,2025-01-08,Surat,Footwear,0.981,False
85,2024-08-26,Gurugram,Appliances,1.228,False
86,2025-04-09,Rajkot,Health,0.921,False
87,2023-02-02,Surat,Toys & Baby,1.287,False
88,2024-11-09,Dhanbad,Beauty & Personal Care,0.915,False
89,2023-08-27,Mumbai,Jewellery,1.142,False
90,2023-03-05,Pimpri-Chinchwad,Electronics,1.044,False
91,2025-03-19,Thane,Stationery,0.959,False
92,2023-06-12,Rajkot,Automotive,1.432,False
93,2023-05-14,Amritsar,Beauty & Personal Care,1.039,False
94,2023-07-18,Nagpur,Industrial Supplies,1.102,False
95,2023-07-30,Vadodara,Footwear,1.025,False
96,2024-05-14,Gwalior,Furniture,0.995,False
97,2024-02-06,Dhanbad,Grocery,0.935,False
98,2025-09-27,Kalyan-Dombivli,Stationery,0.936,True
99,2025-09-26,Faridabad,Appliances,0.915,False
100,2023-08-12,Hyderabad,Stationery,0.598,False
101,2025-06-24,Indore,Footwear,0.489,False
102,2024-10-31,Hyderabad,Pet Supplies,0.883,False
103,2025-06-26,Vasai-Virar,Industrial Supplies,1.178,False
104,2023-01-31,Jaipur,Industrial Supplies,1.017,False
105,2024-01-17,Srinagar,Stationery,0.882,False
106,2025-04-22,Vadodara,Office Products,0.961,False
107,2024-09-09,Aligarh,Books,0.794,False
108,2024-01-18,Nagpur,Stationery,5.284,True
109,2025-09-22,Agra,Beauty & Personal Care,1.12,False
110,2025-04-06,Coimbatore,Fashion-Men,1.277,False
111,2023-12-01,Jodhpur,Grocery,1.105,False
112,2023-09-30,Howrah,Toys & Baby,0.455,False
113,2025-06-19,Jaipur,Appliances,1.307,False
114,2024-01-02,Varanasi,Furniture,1.404,False
115,2023-08-02,Gurugram,Jewellery,1.082,False
116,2023-12-25,Jaipur,Books,0.949,False
117,2023-11-21,Nashik,Sports & Fitness,1.029,False
118,2023-12-01,Srinagar,Footwear,1.564,False
119,2024-10-25,Moradabad,Electronics,0.758,False
120,2024-03-24,Chennai,Mobile & Accessories,1.067,False
121,2025-02-17,Pimpri-Chinchwad,Health,0.871,False
122,2023-12-10,Dhanbad,Automotive,1.195,False
