review_id,order_id,review_date,rating,review_text
1,72983,4/29/2024,3,"Average experience, nothing special."
2,94498,8/23/2025,5,"Early delivery, pleasantly surprised."
3,24285,7/17/2024,5,"Early delivery, pleasantly surprised."
4,11426,10/25/2023,4,"Great experience, will order again."
5,480,9/5/2025,4,Packaging was good and product as described.
6,72057,4/28/2024,5,"Courteous delivery person, smooth experience."
7,28391,5/13/2024,5,Packaging was good and product as described.
8,1470,4/27/2025,3,Delivery was okay.
9,47949,5/28/2024,5,Packaging was good and product as described.
10,20496,8/22/2023,3,Product fine but delivery tracking was confusing.
11,92749,5/9/2023,4,"Fast delivery, happy with the courier."
12,88149,5/27/2025,3,"Average experience, nothing special."
13,91086,3/6/2024,5,"Early delivery, pleasantly surprised."
14,11946,4/15/2023,4,"Courteous delivery person, smooth experience."
15,67653,11/17/2024,5,Packaging was good and product as described.
16,90772,4/17/2024,4,"Early delivery, pleasantly surprised."
17,28740,7/28/2023,5,"Fast delivery, happy with the courier."
18,52062,1/26/2023,4,"Great experience, will order again."
19,77321,3/16/2025,5,"Delivered on time, excellent service."
20,70517,6/23/2023,5,"Great experience, will order again."
21,77091,5/9/2025,5,"Delivered on time, excellent service."
22,86117,7/22/2025,2,Delivery was delayed without updates.
23,43427,8/16/2024,1,Packaging was torn and item missing parts.
24,21657,6/28/2025,3,Timely but packaging could be better.
25,75510,8/6/2024,3,Timely but packaging could be better.
26,96770,7/10/2024,5,"Delivered on time, excellent service."
27,25225,8/12/2023,2,Poor communication from courier.
28,38719,3/8/2023,5,Packaging was good and product as described.
29,27106,2/15/2025,1,Delivery person was rude.
30,15643,1/11/2025,4,Packaging was good and product as described.
31,54465,4/10/2024,4,"Early delivery, pleasantly surprised."
32,3344,4/7/2025,4,"Courteous delivery person, smooth experience."
33,68862,3/17/2023,5,"Courteous delivery person, smooth experience."
34,94414,6/1/2023,5,"Fast delivery, happy with the courier."
35,82504,5/31/2025,5,"Fast delivery, happy with the courier."
36,15112,7/28/2024,2,Packaging was torn and item missing parts.
37,387,7/2/2024,5,Packaging was good and product as described.
38,58056,9/16/2024,3,Delivery was okay.
39,65359,12/17/2024,3,"Average experience, nothing special."
40,14288,9/26/2025,4,"Courteous delivery person, smooth experience."
41,76947,5/9/2023,3,Timely but packaging could be better.
42,63212,7/20/2024,3,Product fine but delivery tracking was confusing.
43,73101,3/7/2023,4,"Early delivery, pleasantly surprised."
44,36065,10/20/2024,5,"Delivered on time, excellent service."
45,68,7/30/2025,5,Packaging was good and product as described.
46,99353,4/13/2025,3,Product fine but delivery tracking was confusing.
47,67524,8/26/2023,1,Package arrived late and damaged.
48,26556,11/8/2024,5,"Early delivery, pleasantly surprised."
49,65866,2/10/2023,5,"Fast delivery, happy with the courier."
50,72708,2/19/2025,5,Packaging was good and product as described.
51,75892,10/17/2023,4,Packaging was good and product as described.
52,30119,1/7/2025,5,Packaging was good and product as described.
53,52522,2/9/2023,1,Delivery was delayed without updates.
54,54586,10/11/2024,5,"Great experience, will order again."
55,92330,8/5/2024,5,"Fast delivery, happy with the courier."
56,58657,2/13/2025,5,"Great experience, will order again."
57,40190,3/17/2025,4,Packaging was good and product as described.
58,18222,4/19/2024,5,Packaging was good and product as described.
59,22845,2/17/2024,4,Packaging was good and product as described.
60,65864,3/28/2025,5,"Courteous delivery person, smooth experience."
61,87092,6/21/2023,5,"Fast delivery, happy with the courier."
62,49893,12/12/2024,5,"Great experience, will order again."
63,84585,10/22/2023,5,"Courteous delivery person, smooth experience."
64,72182,3/8/2025,2,Packaging was torn and item missing parts.
65,17724,4/15/2023,5,"Early delivery, pleasantly surprised."
66,81662,3/11/2025,4,"Courteous delivery person, smooth experience."
67,25817,3/20/2023,3,Timely but packaging could be better.
68,39190,1/9/2023,5,"Early delivery, pleasantly surprised."
69,72945,1/19/2024,4,"Delivered on time, excellent service."
70,81933,2/10/2023,5,"Great experience, will order again."
71,46028,3/4/2023,4,"Fast delivery, happy with the courier."
72,43970,1/12/2025,5,"Great experience, will order again."
73,16535,11/29/2024,4,"Great experience, will order again."
74,7074,5/11/2024,4,"Delivered on time, excellent service."
75,54156,11/17/2023,4,"Delivered on time, excellent service."
76,97755,2/21/2024,4,"Courteous delivery person, smooth experience."
77,83799,7/1/2023,5,"Delivered on time, excellent service."
78,36107,12/2/2024,4,"Early delivery, pleasantly surprised."
79,51187,3/16/2025,4,"Early delivery, pleasantly surprised."
80,78980,1/20/2024,4,"Courteous delivery person, smooth experience."
81,16978,7/21/2025,1,Delivery was delayed without updates.
82,87068,10/2/2024,4,"Delivered on time, excellent service."
83,8309,5/20/2025,4,"Delivered on time, excellent service."
84,43732,6/11/2023,2,Delivery was delayed without updates.
85,51283,6/28/2025,5,"Great experience, will order again."
86,83426,9/2/2023,5,"Great experience, will order again."
87,81381,1/5/2023,4,Packaging was good and product as described.
88,17052,5/11/2023,3,Delivery was okay.
89,6797,12/14/2024,5,"Fast delivery, happy with the courier."
90,75258,8/27/2024,5,"Delivered on time, excellent service."
91,9533,11/3/2023,5,"Great experience, will order again."
92,43794,10/31/2023,5,Packaging was good and product as described.
93,36946,8/11/2024,4,Packaging was good and product as described.
94,37725,5/2/2024,4,"Courteous delivery person, smooth experience."
95,7851,9/24/2024,3,Delivery was okay.
96,83120,8/19/2025,2,Poor communication from courier.
97,24756,7/12/2025,4,"Courteous delivery person, smooth experience."
98,74003,1/29/2023,5,"Early delivery, pleasantly surprised."
99,22001,8/10/2023,5,Packaging was good and product as described.
100,72281,2/27/2024,5,"Courteous delivery person, smooth experience."
101,77374,2/7/2023,5,"Courteous delivery person, smooth experience."
102,40302,1/15/2025,1,Package arrived late and damaged.
103,31471,9/11/2024,3,"Average experience, nothing special."
104,67529,12/10/2024,4,Packaging was good and product as described.
105,86339,5/8/2025,2,Package arrived late and damaged.
106,2921,5/28/2023,5,"Fast delivery, happy with the courier."
107,53634,11/4/2024,5,"Courteous delivery person, smooth experience."
108,35349,8/6/2023,5,"Delivered on time, excellent service."
109,1793,9/24/2024,5,"Early delivery, pleasantly surprised."
110,5470,11/22/2024,4,"Courteous delivery person, smooth experience."
111,80444,9/4/2024,4,"Great experience, will order again."
112,43237,3/27/2025,2,Poor communication from courier.
113,73622,11/4/2024,4,"Great experience, will order again."
114,74783,3/6/2024,2,Package arrived late and damaged.
115,64240,11/3/2023,5,"Delivered on time, excellent service."
116,36113,11/7/2024,5,"Great experience, will order again."
117,68278,4/8/2024,5,"Fast delivery, happy with the courier."
118,45080,5/9/2025,2,Poor communication from courier.
119,23117,4/2/2023,5,"Delivered on time, excellent service."
120,40593,6/30/2023,3,"Average experience, nothing special."
121,83552,4/1/2023,4,"Fast delivery, happy with the courier."
122,62127,1/29/2024,5,"Courteous delivery person, smooth experience."
123,3088,6/10/2023,4,"Great experience, will order again."
124,24624,12/10/2024,3,Product fine but delivery tracking was confusing.
125,94356,1/19/2024,3,Delivery was okay.
126,4282,2/23/2024,4,Packaging was good and product as described.
127,39676,8/21/2025,4,"Courteous delivery person, smooth experience."
128,10612,8/8/2023,5,"Early delivery, pleasantly surprised."
129,42141,2/10/2023,4,"Early delivery, pleasantly surprised."
130,64492,6/14/2025,2,Packaging was torn and item missing parts.
131,11884,3/7/2025,5,"Courteous delivery person, smooth experience."
132,88177,2/16/2025,4,"Early delivery, pleasantly surprised."
133,83933,2/23/2025,3,Delivery was okay.
134,47574,5/15/2023,4,"Fast delivery, happy with the courier."
135,57311,9/3/2023,4,"Early delivery, pleasantly surprised."
136,73857,12/8/2024,3,Product fine but delivery tracking was confusing.
137,84050,4/2/2024,5,Packaging was good and product as described.
138,66415,4/11/2024,2,Delivery person was rude.
139,19394,9/3/2025,3,Delivery was okay.
140,32218,2/21/2025,3,Delivery was okay.
141,49168,2/10/2024,4,"Delivered on time, excellent service."
142,1003,1/15/2025,5,"Courteous delivery person, smooth experience."
143,51143,12/28/2023,5,"Courteous delivery person, smooth experience."
144,52021,2/27/2023,4,"Early delivery, pleasantly surprised."
145,9952,1/31/2025,5,Packaging was good and product as described.
146,37417,12/30/2023,5,"Early delivery, pleasantly surprised."
147,22595,3/31/2024,2,Packaging was torn and item missing parts.
148,11462,4/21/2024,3,Timely but packaging could be better.
149,2438,5/13/2025,4,"Great experience, will order again."
150,30981,3/14/2023,5,"Early delivery, pleasantly surprised."
151,96987,11/30/2023,3,Product fine but delivery tracking was confusing.
152,87306,5/7/2023,2,Poor communication from courier.
153,14772,5/8/2024,4,Packaging was good and product as described.
154,81879,3/16/2023,5,Packaging was good and product as described.
155,98605,10/11/2024,5,Packaging was good and product as described.
156,3905,9/5/2025,3,Delivery was okay.
157,12808,5/18/2024,4,"Delivered on time, excellent service."
158,80940,1/28/2025,2,Package arrived late and damaged.
159,34660,7/9/2023,4,"Great experience, will order again."
160,74580,9/18/2023,3,Product fine but delivery tracking was confusing.
161,27288,2/16/2024,4,"Great experience, will order again."
162,54463,4/20/2024,5,"Fast delivery, happy with the courier."
163,76566,6/16/2024,5,"Early delivery, pleasantly surprised."
164,46994,7/12/2024,4,"Delivered on time, excellent service."
165,30947,5/28/2023,4,Packaging was good and product as described.
166,61071,8/3/2023,5,"Courteous delivery person, smooth experience."
167,72737,5/28/2023,5,"Early delivery, pleasantly surprised."
168,81944,7/6/2023,4,"Fast delivery, happy with the courier."
169,89929,11/10/2023,5,"Courteous delivery person, smooth experience."
170,86307,8/22/2023,2,"Wrong item delivered, disappointed."
171,39716,5/3/2024,5,"Fast delivery, happy with the courier."
172,35475,11/29/2024,1,"Wrong item delivered, disappointed."
173,69779,8/31/2024,3,Product fine but delivery tracking was confusing.
174,22840,1/28/2025,4,"Early delivery, pleasantly surprised."
175,51831,6/26/2024,5,"Courteous delivery person, smooth experience."
176,99132,4/16/2024,5,"Courteous delivery person, smooth experience."
177,65640,5/20/2023,4,Packaging was good and product as described.
178,84640,10/14/2024,5,"Courteous delivery person, smooth experience."
179,83916,9/11/2025,4,"Early delivery, pleasantly surprised."
180,21839,8/29/2023,5,"Fast delivery, happy with the courier."
181,37562,9/13/2024,5,"Delivered on time, excellent service."
182,32440,9/10/2024,5,"Great experience, will order again."
183,72896,7/2/2025,5,Packaging was good and product as described.
184,8868,11/5/2023,3,"Average experience, nothing special."
185,49454,5/31/2024,5,"Great experience, will order again."
186,34629,10/10/2024,5,"Great experience, will order again."
187,91341,2/5/2023,4,"Courteous delivery person, smooth experience."
188,81715,1/8/2024,3,Product fine but delivery tracking was confusing.
189,63957,6/5/2023,3,Timely but packaging could be better.
190,78662,10/27/2024,5,"Early delivery, pleasantly surprised."
191,52899,3/19/2025,4,"Courteous delivery person, smooth experience."
192,69985,10/1/2023,5,"Delivered on time, excellent service."
193,28137,2/17/2024,2,Poor communication from courier.
194,93898,12/1/2024,3,Timely but packaging could be better.
195,52186,9/30/2025,3,Timely but packaging could be better.
196,9726,12/3/2024,1,Delivery person was rude.
197,67774,12/6/2023,4,"Great experience, will order again."
198,67079,3/1/2024,3,Timely but packaging could be better.
199,38342,3/10/2023,3,Delivery was okay.
200,39242,12/7/2023,5,"Great experience, will order again."
201,61479,3/31/2025,4,Packaging was good and product as described.
202,4008,6/4/2023,5,"Early delivery, pleasantly surprised."
203,67453,8/8/2024,5,Packaging was good and product as described.
204,13920,6/27/2023,4,"Fast delivery, happy with the courier."
205,77304,6/5/2023,1,"Wrong item delivered, disappointed."
206,86848,2/22/2023,3,Delivery was okay.
207,23899,5/8/2025,5,Packaging was good and product as described.
208,17304,3/9/2025,5,"Delivered on time, excellent service."
209,61021,11/24/2024,2,"Wrong item delivered, disappointed."
210,81317,3/11/2023,5,"Courteous delivery person, smooth experience."
211,47901,7/3/2023,5,"Delivered on time, excellent service."
212,63021,10/25/2024,4,"Courteous delivery person, smooth experience."
213,1251,1/23/2023,5,"Fast delivery, happy with the courier."
214,68591,10/25/2024,5,"Courteous delivery person, smooth experience."
215,37290,4/10/2025,1,Delivery was delayed without updates.
216,27274,8/9/2024,4,"Courteous delivery person, smooth experience."
217,20297,11/3/2024,5,"Early delivery, pleasantly surprised."
218,51799,10/24/2024,1,Package arrived late and damaged.
219,20255,11/21/2024,4,"Great experience, will order again."
220,13023,6/2/2024,4,"Courteous delivery person, smooth experience."
221,1799,10/24/2024,5,"Delivered on time, excellent service."
222,77784,10/8/2023,3,"Average experience, nothing special."
223,95875,6/28/2025,5,"Early delivery, pleasantly surprised."
224,50647,9/25/2025,4,"Fast delivery, happy with the courier."
225,12503,1/1/2024,2,Poor communication from courier.
226,31654,5/4/2025,4,Packaging was good and product as described.
227,42048,8/4/2024,3,Timely but packaging could be better.
228,98590,5/10/2025,5,"Delivered on time, excellent service."
229,8734,9/5/2025,3,"Average experience, nothing special."
230,53778,1/11/2024,1,Package arrived late and damaged.
231,67219,7/23/2024,4,Packaging was good and product as described.
232,7605,11/3/2023,4,Packaging was good and product as described.
233,62875,4/26/2025,1,Delivery person was rude.
234,71600,2/23/2023,3,"Average experience, nothing special."
235,16524,4/8/2025,5,"Great experience, will order again."
236,35537,9/26/2024,3,Product fine but delivery tracking was confusing.
237,44333,11/24/2024,5,"Great experience, will order again."
238,73308,5/5/2025,4,"Fast delivery, happy with the courier."
239,2092,6/13/2024,3,Product fine but delivery tracking was confusing.
240,6335,3/9/2024,3,Product fine but delivery tracking was confusing.
241,14661,1/14/2025,4,"Early delivery, pleasantly surprised."
