record_id,date,city,category,demand_index,campaign_flag
1,9/11/2025,Ahmedabad,Furniture,0.764,FALSE
2,5/25/2025,Agra,Grocery,1.225,TRUE
3,3/3/2025,Jodhpur,Fashion-Women,2.4,TRUE
4,8/18/2024,Hyderabad,Beauty & Personal Care,2.36,TRUE
5,12/10/2023,Jodhpur,Jewellery,0.89,TRUE
6,12/17/2023,Varanasi,Office Products,1.196,FALSE
7,2/4/2023,Thane,Office Products,4.724,TRUE
8,8/17/2025,Mumbai,Fashion-Women,0.993,FALSE
9,6/24/2023,Ranchi,Industrial Supplies,3.065,TRUE
10,5/29/2024,Bengaluru,Sports & Fitness,1.287,FALSE
11,4/14/2024,Ranchi,Books,1.027,FALSE
12,12/3/2023,Howrah,Appliances,1.054,FALSE
13,11/7/2023,Thane,Beauty & Personal Care,1.449,FALSE
14,5/5/2024,Faridabad,Office Products,0.617,FALSE
15,5/5/2024,Bengaluru,Automotive,0.972,FALSE
16,10/31/2024,Coimbatore,Health,0.779,FALSE
17,6/17/2024,Pimpri-Chinchwad,Beauty & Personal Care,0.987,FALSE
18,6/25/2024,Thane,Pet Supplies,3.38,TRUE
19,2/14/2023,Meerut,Footwear,1.186,TRUE
20,1/2/2023,Pune,Electronics,1.011,FALSE
21,5/9/2023,Moradabad,Office Products,1.048,FALSE
22,7/1/2023,Surat,Furniture,0.882,FALSE
23,10/14/2024,Kanpur,Home & Kitchen,0.673,FALSE
24,6/28/2024,Pune,Home & Kitchen,0.887,FALSE
25,7/25/2025,Ghaziabad,Stationery,0.753,TRUE
26,5/7/2023,Chandigarh,Home & Kitchen,2.082,TRUE
27,3/25/2025,Mumbai,Jewellery,1.234,FALSE
28,6/24/2025,Lucknow,Beauty & Personal Care,1.023,FALSE
29,1/30/2024,Mumbai,Mobile & Accessories,0.782,FALSE
30,12/10/2023,Surat,Footwear,0.931,FALSE
31,7/13/2023,Hyderabad,Jewellery,2.447,TRUE
32,7/17/2025,Varanasi,Appliances,1.153,FALSE
33,8/29/2024,Pune,Jewellery,1.01,FALSE
34,8/9/2023,Ahmedabad,Fashion-Men,0.81,FALSE
35,9/20/2025,Mangalore,Office Products,0.734,FALSE
36,5/31/2025,Ghaziabad,Stationery,2.648,TRUE
37,9/23/2023,Ghaziabad,Home & Kitchen,1.219,FALSE
38,8/31/2023,Gurugram,Pet Supplies,0.939,FALSE
39,5/21/2025,Rajkot,Footwear,1.49,TRUE
40,1/2/2025,Bhubaneswar,Toys & Baby,0.838,FALSE
41,8/14/2023,Bhiwandi,Appliances,1.407,TRUE
42,2/6/2024,Patna,Home & Kitchen,1.004,FALSE
43,4/13/2025,Hyderabad,Books,1.014,FALSE
44,9/4/2024,Bhiwandi,Toys & Baby,1.035,FALSE
45,9/30/2025,Bhopal,Beauty & Personal Care,1.081,FALSE
46,5/31/2025,Thane,Books,1.087,FALSE
47,9/4/2023,Meerut,Automotive,1.033,FALSE
48,12/14/2024,Kanpur,Stationery,0.896,FALSE
49,3/24/2024,Chandigarh,Health,0.928,FALSE
50,10/22/2024,Howrah,Automotive,1.161,FALSE
51,3/16/2024,Vasai-Virar,Industrial Supplies,0.978,FALSE
52,12/4/2023,Pune,Furniture,1.1,FALSE
53,2/10/2025,Madurai,Furniture,0.676,FALSE
54,10/22/2023,Bhiwandi,Fashion-Men,4.521,TRUE
55,11/30/2023,Nashik,Stationery,1.001,FALSE
56,8/11/2025,Srinagar,Jewellery,0.777,FALSE
57,5/8/2025,Vijayawada,Automotive,1.133,FALSE
58,3/3/2024,Allahabad,Mobile & Accessories,1.171,FALSE
59,4/14/2025,Jabalpur,Books,1.262,FALSE
60,1/8/2024,Dhanbad,Footwear,0.946,TRUE
61,2/1/2025,Ghaziabad,Furniture,1.059,FALSE
62,6/25/2025,Amritsar,Fashion-Women,0.819,FALSE
63,8/4/2024,Bhopal,Furniture,0.997,FALSE
64,7/27/2023,Jodhpur,Office Products,0.911,TRUE
65,7/4/2024,Raipur,Toys & Baby,1.016,FALSE
66,5/4/2025,Bhopal,Books,1.071,FALSE
