transport_id,warehouse_id,city,distance_km,fuel_cost_per_km_inr,courier_partner,courier_on_time_rate,estimated_transit_hours
1,WH_020,Surat,43.9,3.59,Delhivery,0.962,2.6
2,WH_020,Hyderabad,110,3.71,AmazonLogistics,0.858,5.9
3,WH_020,Kalyan-Dombivli,363.1,3.37,DTDC,0.984,9.3
4,WH_017,Ahmedabad,301.5,2.48,Delhivery,0.931,11.2
5,WH_007,Varanasi,280.4,3.23,BlueDart,0.839,23.9
6,WH_012,Varanasi,219.9,3,BlueDart,0.882,5.6
7,WH_003,Coimbatore,63.7,3.28,IndiaPost,0.868,2.3
8,WH_002,Gwalior,88.2,1.79,XpressBees,0.977,5.1
9,WH_014,Srinagar,200.5,2.7,EcomExpress,0.948,9.9
10,WH_011,Jaipur,130.4,1.43,BlueDart,0.869,6.8
11,WH_018,Pune,380.6,3.34,IndiaPost,0.949,11.7
12,WH_009,Ahmedabad,41.2,3.53,EcomExpress,0.77,2.6
13,WH_008,Nagpur,82.7,1.29,DTDC,0.883,10.3
14,WH_005,Srinagar,286.9,3.6,IndiaPost,0.779,16.4
15,WH_009,Ludhiana,52.3,1.23,IndiaPost,0.755,20.5
16,WH_002,Aligarh,198.7,3.68,IndiaPost,0.816,11.4
17,WH_008,Pimpri-Chinchwad,152.2,2.11,Shadowfax,0.909,22.8
18,WH_004,Meerut,75.8,3.19,Shadowfax,0.931,8.8
19,WH_004,Indore,198.2,2.58,DTDC,0.759,5.5
20,WH_008,Srinagar,264.7,2.41,IndiaPost,0.863,9.1
21,WH_015,Ghaziabad,34.7,2.98,EcomExpress,0.895,2.3
22,WH_015,Agra,104.7,3.41,IndiaPost,0.894,10.9
23,WH_006,Kolkata,42.5,2.94,AmazonLogistics,0.912,7.1
24,WH_008,Ghaziabad,174.9,1.1,EcomExpress,0.792,19.9
25,WH_020,Hyderabad,142.6,3.55,EcomExpress,0.825,5.7
26,WH_016,Patna,97.9,3.26,IndiaPost,0.793,5.6
27,WH_008,Surat,191.6,2.35,Shadowfax,0.906,48.8
28,WH_016,Dhanbad,54.7,1.87,DTDC,0.888,2.4
29,WH_020,Moradabad,372.9,3.09,EcomExpress,0.902,28.7
30,WH_001,Meerut,218.9,1.82,EcomExpress,0.826,7.3
31,WH_001,Patna,252.2,1.68,DTDC,0.955,16.1
32,WH_015,Indore,462.7,3.09,Shadowfax,0.81,12.1
33,WH_005,Vijayawada,54.7,1.21,IndiaPost,0.857,27.4
34,WH_009,Srinagar,67.2,3.89,BlueDart,0.771,9.8
35,WH_016,Chennai,79.5,3.64,EcomExpress,0.818,16.7
36,WH_012,Ghaziabad,8.8,1.46,XpressBees,0.962,0.3
37,WH_006,Nashik,167.8,3.28,DTDC,0.888,8.2
38,WH_004,Thane,64,2.55,Delhivery,0.9,4.7
39,WH_006,Nagpur,134.5,1.57,IndiaPost,0.814,12.4
40,WH_019,Jodhpur,46.3,2.37,DTDC,0.85,18.3
41,WH_011,Indore,113.7,2.43,IndiaPost,0.902,6.1
42,WH_020,Vadodara,205.3,2.93,BlueDart,0.859,6.1
43,WH_016,Thane,70.6,0.94,Delhivery,0.887,5.8
44,WH_004,Dhanbad,42.4,3.63,AmazonLogistics,0.83,8.9
45,WH_017,Lucknow,306,1,EcomExpress,0.982,9
46,WH_020,Bhopal,309.5,1.23,BlueDart,0.786,13.4
47,WH_012,Kalyan-Dombivli,166.8,2.62,XpressBees,0.864,5.2
48,WH_015,Meerut,62.7,3.31,IndiaPost,0.945,1.9
49,WH_017,Kalyan-Dombivli,170.8,0.91,XpressBees,0.906,20.8
50,WH_009,Gwalior,121.4,3.65,EcomExpress,0.853,7.3
51,WH_015,Kalyan-Dombivli,123.5,1.48,BlueDart,0.891,6.4
52,WH_004,Moradabad,123.4,3.54,Shadowfax,0.811,12.1
53,WH_017,Patna,33,2.26,AmazonLogistics,0.826,1.8
54,WH_007,Nagpur,57.5,3.3,Shadowfax,0.902,9.7
55,WH_017,Varanasi,393.8,1.52,XpressBees,0.93,11.9
56,WH_017,Delhi,32.2,2.01,Shadowfax,0.869,3.7
57,WH_013,Bengaluru,47.3,3.28,AmazonLogistics,0.906,4
58,WH_003,Pune,149.5,2.9,EcomExpress,0.722,3.8
59,WH_009,Patna,293.8,2.34,Shadowfax,0.909,23.1
60,WH_009,Madurai,245.1,1.06,Shadowfax,0.817,20.1
61,WH_012,Rajkot,125.3,2.32,IndiaPost,0.835,14.1
62,WH_004,Varanasi,30.2,1.94,Shadowfax,0.825,2.7
63,WH_015,Ranchi,88.7,3.3,IndiaPost,0.975,3.9
64,WH_018,Agra,26.4,2.91,IndiaPost,0.99,0.8
65,WH_006,Delhi,438.1,2.77,DTDC,0.831,17.8
