op_id,warehouse_id,date,avg_processing_time_hours,storage_cost_per_pallet_inr,workforce_available,shifts
1,WH_016,6/20/2025,4.41,183.45,41,2
2,WH_004,4/16/2023,4.19,447.98,48,3
3,WH_006,9/22/2023,8.76,330.85,264,3
4,WH_013,8/17/2024,9.04,358.69,337,3
5,WH_016,8/31/2024,1,222.39,211,2
6,WH_007,6/3/2023,2.45,226.49,184,3
7,WH_010,9/8/2023,7.68,182.82,242,2
8,WH_014,6/2/2024,5.58,418.37,37,2
9,WH_007,5/6/2024,5.81,84.76,29,3
10,WH_018,8/14/2025,4.72,483.77,108,2
11,WH_016,5/31/2024,7.63,442.82,41,2
12,WH_018,7/30/2023,7.25,217.96,31,2
13,WH_001,2/10/2025,6.46,348.89,239,1
14,WH_014,3/22/2023,8.54,304.28,240,2
15,WH_002,6/14/2025,5.35,232.62,368,2
16,WH_010,10/20/2023,8.86,360.05,327,3
17,WH_017,4/8/2025,5.88,263.35,302,2
18,WH_007,2/20/2025,6.09,454.98,327,2
19,WH_007,1/1/2023,8.64,211.16,157,2
20,WH_016,11/3/2024,8.29,344.21,154,2
21,WH_001,6/23/2025,7.19,466.1,171,3
22,WH_007,7/14/2023,6.99,142.09,80,3
23,WH_018,9/10/2024,5.63,413.59,121,3
24,WH_017,5/14/2025,7.03,481.34,361,3
25,WH_015,1/18/2024,5.97,446.43,122,2
26,WH_009,9/28/2025,8.19,462.1,184,2
27,WH_002,3/13/2025,4.97,482.53,244,3
28,WH_009,5/25/2024,6.48,456.81,177,2
29,WH_020,2/13/2024,6.8,449.4,349,2
30,WH_020,6/23/2023,7.63,91.51,327,2
31,WH_005,9/5/2023,7.66,100.23,245,2
32,WH_020,6/22/2025,4.15,331.63,50,2
33,WH_014,10/8/2023,5.83,459.73,381,3
34,WH_011,4/11/2025,11.48,310.12,138,2
35,WH_001,8/20/2025,3.05,322.62,269,2
36,WH_002,2/7/2023,5.38,355.06,61,2
37,WH_012,7/9/2023,7.44,74.09,166,3
38,WH_010,2/4/2025,5.91,64.69,184,2
39,WH_014,11/26/2024,3.15,347.11,135,2
40,WH_014,7/28/2023,5.3,153.47,387,1
41,WH_014,11/21/2023,5.47,190.86,340,2
42,WH_006,4/21/2023,6.14,303.1,123,1
43,WH_001,2/16/2023,4.68,169.53,149,2
44,WH_003,1/7/2025,6.91,392.51,89,2
45,WH_015,8/28/2024,7.89,308.37,296,3
46,WH_006,3/25/2023,4.95,346.73,386,2
47,WH_019,1/18/2023,2.99,181.93,217,2
48,WH_007,3/3/2024,4.73,220.8,382,2
49,WH_003,6/30/2023,4.34,240.42,245,3
50,WH_009,4/15/2023,4.03,113.13,275,2
51,WH_020,10/23/2023,5.02,371.74,328,2
52,WH_017,10/27/2023,5.45,236.85,349,2
53,WH_005,2/14/2024,5.01,389.1,149,2
54,WH_011,3/23/2024,7.91,443.84,218,3
55,WH_013,11/18/2024,6.83,60.34,348,3
