review_id,order_id,review_date,rating,review_text
40001,68675,5/8/2025,5,"Courteous delivery person, smooth experience."
40002,54195,2/15/2025,5,"Great experience, will order again."
40003,20735,12/21/2023,5,"Fast delivery, happy with the courier."
40004,21876,1/15/2023,5,"Courteous delivery person, smooth experience."
40005,80953,9/22/2023,4,"Fast delivery, happy with the courier."
40006,30183,4/1/2024,1,Packaging was torn and item missing parts.
40007,55731,11/11/2024,5,"Delivered on time, excellent service."
40008,9570,11/7/2024,5,"Great experience, will order again."
40009,3239,5/30/2025,4,"Delivered on time, excellent service."
40010,79160,3/30/2024,4,"Fast delivery, happy with the courier."
40011,48679,2/5/2023,5,Packaging was good and product as described.
40012,33129,9/27/2023,4,"Great experience, will order again."
40013,34335,3/2/2024,3,Product fine but delivery tracking was confusing.
40014,10260,6/23/2023,4,"Fast delivery, happy with the courier."
40015,86990,2/26/2024,4,"Delivered on time, excellent service."
40016,98406,11/14/2024,3,Product fine but delivery tracking was confusing.
40017,30513,4/24/2025,3,Product fine but delivery tracking was confusing.
40018,47427,6/29/2024,4,"Great experience, will order again."
40019,44680,1/1/2023,5,"Courteous delivery person, smooth experience."
40020,37794,3/22/2025,5,"Great experience, will order again."
40021,47772,6/17/2024,4,"Great experience, will order again."
40022,38320,10/23/2023,5,"Delivered on time, excellent service."
40023,55179,5/26/2024,3,"Average experience, nothing special."
40024,44673,8/1/2023,5,"Fast delivery, happy with the courier."
40025,3626,5/9/2024,5,"Great experience, will order again."
40026,79644,4/5/2024,5,"Courteous delivery person, smooth experience."
40027,54136,4/15/2024,2,Package arrived late and damaged.
40028,22728,6/26/2024,3,Timely but packaging could be better.
40029,25555,3/24/2024,1,Delivery was delayed without updates.
40030,42935,12/14/2024,4,"Delivered on time, excellent service."
40031,82588,12/3/2024,5,"Early delivery, pleasantly surprised."
40032,89653,11/16/2024,1,"Wrong item delivered, disappointed."
40033,37830,8/21/2024,3,Timely but packaging could be better.
40034,91518,5/9/2024,5,"Early delivery, pleasantly surprised."
40035,79289,9/22/2024,4,Packaging was good and product as described.
40036,47627,8/7/2023,5,"Fast delivery, happy with the courier."
40037,50828,6/30/2025,3,Product fine but delivery tracking was confusing.
40038,5632,9/25/2023,4,"Fast delivery, happy with the courier."
40039,66111,2/2/2023,4,"Courteous delivery person, smooth experience."
40040,42880,8/11/2023,4,"Courteous delivery person, smooth experience."
40041,42261,6/12/2025,5,"Great experience, will order again."
40042,41477,5/16/2023,4,"Fast delivery, happy with the courier."
40043,672,3/20/2025,3,"Average experience, nothing special."
40044,55732,4/24/2025,2,Packaging was torn and item missing parts.
40045,56999,4/28/2023,5,"Great experience, will order again."
40046,79335,3/17/2024,3,Product fine but delivery tracking was confusing.
40047,93636,9/27/2024,4,"Fast delivery, happy with the courier."
40048,37666,5/6/2024,3,Timely but packaging could be better.
40049,21201,2/8/2025,3,Product fine but delivery tracking was confusing.
40050,80491,4/1/2025,5,"Fast delivery, happy with the courier."
40051,85222,6/3/2023,4,Packaging was good and product as described.
40052,26676,8/12/2024,4,"Fast delivery, happy with the courier."
