order_id,order_date,city,warehouse_id,delivery_date,category,order_value_inr,courier_partner,route_id
80001,3/20/2024,Rajkot,WH_019,3/23/2024,Beauty & Personal Care,2278.12,Shadowfax,R_WH_019_Rajkot
80002,5/18/2025,Kalyan-Dombivli,WH_013,5/21/2025,Electronics,2708.44,AmazonLogistics,R_WH_013_Kalyan-Dombivli
80003,1/30/2024,Howrah,WH_014,2/4/2024,Furniture,616.84,BlueDart,R_WH_014_Howrah
80004,7/28/2025,Patna,WH_012,7/31/2025,Health,4637.62,DTDC,R_WH_012_Patna
80005,10/15/2023,Gurugram,WH_014,10/20/2023,Office Products,507.04,Shadowfax,R_WH_014_Gurugram
80006,7/14/2024,Kolkata,WH_018,7/15/2024,Jewellery,259.84,AmazonLogistics,R_WH_018_Kolkata
80007,9/19/2023,Gwalior,WH_015,9/20/2023,Grocery,1016.82,XpressBees,R_WH_015_Gwalior
80008,1/25/2025,Vasai-Virar,WH_004,2/4/2025,Footwear,1968.24,Shadowfax,R_WH_004_Vasai-Virar
80009,2/26/2023,Nashik,WH_014,2/26/2023,Grocery,2193.79,BlueDart,R_WH_014_Nashik
80010,1/6/2023,Ludhiana,WH_015,1/10/2023,Home & Kitchen,1387.42,EcomExpress,R_WH_015_Ludhiana
80011,7/12/2024,Pune,WH_015,7/14/2024,Health,431.42,BlueDart,R_WH_015_Pune
80012,7/28/2024,Vadodara,WH_008,7/31/2024,Health,904.11,XpressBees,R_WH_008_Vadodara
80013,8/2/2025,Agra,WH_007,8/6/2025,Fashion-Men,417.28,EcomExpress,R_WH_007_Agra
80014,7/6/2025,Kanpur,WH_001,7/7/2025,Books,782.14,Delhivery,R_WH_001_Kanpur
80015,8/1/2024,Gwalior,WH_008,8/3/2024,Health,590.7,DTDC,R_WH_008_Gwalior
80016,7/3/2025,Kalyan-Dombivli,WH_008,7/4/2025,Furniture,1772.09,Delhivery,R_WH_008_Kalyan-Dombivli
80017,11/25/2024,Agra,WH_005,11/28/2024,Toys & Baby,144.88,Shadowfax,R_WH_005_Agra
80018,6/11/2023,Bhiwandi,WH_004,6/13/2023,Fashion-Women,334.94,EcomExpress,R_WH_004_Bhiwandi
80019,10/24/2023,Ghaziabad,WH_008,10/24/2023,Grocery,2773.69,Shadowfax,R_WH_008_Ghaziabad
80020,9/8/2024,Faridabad,WH_013,9/10/2024,Electronics,513.89,DTDC,R_WH_013_Faridabad
80021,2/13/2025,Jodhpur,WH_001,2/15/2025,Furniture,889.45,DTDC,R_WH_001_Jodhpur
80022,2/26/2023,Hyderabad,WH_006,3/1/2023,Books,423.82,AmazonLogistics,R_WH_006_Hyderabad
80023,6/11/2024,Surat,WH_018,6/16/2024,Automotive,2669.93,BlueDart,R_WH_018_Surat
80024,2/28/2023,Gwalior,WH_019,3/4/2023,Mobile & Accessories,1454.34,EcomExpress,R_WH_019_Gwalior
80025,6/15/2023,Ghaziabad,WH_017,6/18/2023,Pet Supplies,295.33,EcomExpress,R_WH_017_Ghaziabad
80026,6/23/2025,Moradabad,WH_009,6/25/2025,Automotive,3832.94,Delhivery,R_WH_009_Moradabad
