record_id,date,city,category,demand_index,campaign_flag
12001,2/1/2023,Rajkot,Books,1.025,FALSE
12002,11/15/2024,Vadodara,Grocery,0.91,FALSE
12003,3/19/2023,Coimbatore,Jewellery,0.902,FALSE
12004,6/13/2023,Hyderabad,Sports & Fitness,1.141,FALSE
12005,12/6/2024,Ludhiana,Furniture,0.955,FALSE
12006,8/9/2023,Madurai,Fashion-Men,0.758,FALSE
12007,7/11/2024,Pune,Home & Kitchen,0.756,FALSE
12008,2/7/2024,Nashik,Industrial Supplies,1.106,FALSE
12009,9/13/2024,Chennai,Footwear,0.819,FALSE
12010,7/13/2023,Patna,Pet Supplies,1.045,TRUE
12011,6/8/2023,Delhi,Automotive,3.936,TRUE
12012,5/27/2025,Patna,Appliances,1.476,FALSE
12013,3/22/2023,Coimbatore,Home & Kitchen,1.158,FALSE
12014,6/4/2024,Gurugram,Fashion-Women,0.768,FALSE
12015,7/21/2024,Ranchi,Mobile & Accessories,1.051,FALSE
12016,12/14/2023,Ranchi,Health,1.048,TRUE
12017,7/9/2023,Thane,Industrial Supplies,1.286,FALSE
12018,6/8/2023,Chennai,Furniture,1.86,TRUE
12019,11/29/2024,Kanpur,Jewellery,1.148,FALSE
12020,1/3/2025,Vadodara,Industrial Supplies,0.531,TRUE
12021,7/28/2023,Vasai-Virar,Beauty & Personal Care,1.11,FALSE
12022,7/10/2024,Raipur,Fashion-Men,1.346,FALSE
12023,9/26/2023,Srinagar,Books,1.531,FALSE
12024,9/25/2023,Ranchi,Appliances,0.807,FALSE
12025,7/18/2025,Coimbatore,Fashion-Men,1,FALSE
12026,7/15/2025,Chandigarh,Office Products,1.005,TRUE
12027,9/25/2024,Kanpur,Jewellery,1.11,FALSE
12028,1/21/2025,Bhubaneswar,Appliances,1.066,FALSE
12029,7/25/2024,Meerut,Footwear,1.032,FALSE
12030,9/20/2023,Meerut,Books,2.266,TRUE
12031,3/13/2024,Lucknow,Books,0.715,FALSE
12032,7/13/2023,Thane,Appliances,0.913,FALSE
12033,4/9/2023,Amritsar,Office Products,1.173,FALSE
12034,9/8/2025,Nashik,Fashion-Men,0.839,FALSE
12035,1/29/2024,Coimbatore,Beauty & Personal Care,0.776,FALSE
12036,11/10/2024,Chennai,Health,4.455,TRUE
12037,7/25/2025,Jabalpur,Sports & Fitness,4.317,TRUE
12038,1/28/2025,Dhanbad,Industrial Supplies,0.959,FALSE
12039,7/22/2025,Coimbatore,Health,1.014,FALSE
12040,3/29/2025,Faridabad,Toys & Baby,1.119,FALSE
12041,9/22/2023,Mumbai,Toys & Baby,0.959,FALSE
12042,6/17/2024,Nagpur,Mobile & Accessories,1.506,TRUE
12043,8/30/2023,Moradabad,Home & Kitchen,0.667,FALSE
12044,4/14/2023,Agra,Toys & Baby,0.692,FALSE
12045,4/22/2023,Meerut,Footwear,0.911,FALSE
12046,3/19/2024,Nagpur,Home & Kitchen,0.906,FALSE
12047,3/20/2024,Howrah,Automotive,1.088,FALSE
12048,12/12/2023,Patna,Sports & Fitness,1.048,FALSE
12049,2/15/2025,Mangalore,Footwear,1.082,FALSE
12050,4/25/2023,Mangalore,Toys & Baby,1.816,TRUE
12051,9/13/2025,Patna,Books,0.767,FALSE
12052,6/3/2023,Srinagar,Industrial Supplies,1.031,FALSE
12053,3/3/2024,Thane,Electronics,1.082,FALSE
12054,10/9/2024,Coimbatore,Pet Supplies,0.995,FALSE
12055,6/6/2025,Delhi,Electronics,0.815,FALSE
