transport_id,warehouse_id,city,distance_km,fuel_cost_per_km_inr,courier_partner,courier_on_time_rate,estimated_transit_hours
48081,WH_015,Nagpur,100.1,1.91,DTDC,0.955,13.4
48082,WH_020,Bhubaneswar,204.7,1.56,BlueDart,0.836,17.8
48083,WH_007,Amritsar,384.4,2.12,Delhivery,0.907,15.4
48084,WH_015,Vijayawada,353.9,2.69,Shadowfax,0.884,24.4
48085,WH_018,Aligarh,106.9,2.8,AmazonLogistics,0.912,10.3
48086,WH_003,Dhanbad,177.7,1.76,XpressBees,0.856,13.9
48087,WH_011,Lucknow,53.4,1.87,Delhivery,0.842,5.2
48088,WH_004,Mangalore,144.3,2.79,EcomExpress,0.88,18.1
48089,WH_002,Hyderabad,74.1,0.95,DTDC,0.973,5.1
48090,WH_011,Amritsar,44.5,2.28,Shadowfax,0.856,1.6
48091,WH_010,Jabalpur,62.5,2.54,XpressBees,0.926,4.5
48092,WH_006,Nagpur,94.9,3.63,DTDC,0.815,32
48093,WH_018,Howrah,106.5,3.53,AmazonLogistics,0.888,14.6
48094,WH_014,Hyderabad,61.8,2.23,DTDC,0.945,17.5
48095,WH_013,Mumbai,74.6,3.28,IndiaPost,0.834,3.3
48096,WH_008,Mumbai,48.7,2.19,Delhivery,0.896,38.8
48097,WH_008,Jaipur,39.4,3.89,EcomExpress,0.787,26.5
48098,WH_011,Howrah,119.3,1.67,EcomExpress,0.873,21.9
48099,WH_005,Indore,274.3,1.71,AmazonLogistics,0.937,16.5
48100,WH_011,Srinagar,402.3,1.88,IndiaPost,0.837,11.5
48101,WH_019,Dhanbad,106.2,3.82,Delhivery,0.947,4.5
48102,WH_004,Rajkot,164.1,1.18,Delhivery,0.82,6
48103,WH_010,Lucknow,85.6,1.95,EcomExpress,0.897,11.8
48104,WH_019,Delhi,352.4,2.87,BlueDart,0.806,19.5
48105,WH_010,Moradabad,146.9,1.34,AmazonLogistics,0.828,8.3
48106,WH_012,Aligarh,231.8,2.37,EcomExpress,0.898,16.7
48107,WH_007,Rajkot,381.8,3.38,EcomExpress,0.838,24.7
48108,WH_007,Ludhiana,185,2.26,EcomExpress,0.926,5.1
48109,WH_002,Indore,102.2,1.41,Delhivery,0.872,10.5
