op_id,warehouse_id,date,avg_processing_time_hours,storage_cost_per_pallet_inr,workforce_available,shifts
20001,WH_008,4/12/2023,3.84,119.15,48,2
20002,WH_001,8/25/2025,5.86,159.11,128,3
20003,WH_008,9/12/2024,4.79,399.1,293,3
20004,WH_009,4/8/2023,4.69,414.31,50,2
20005,WH_017,8/10/2025,6.27,102.49,383,2
20006,WH_013,10/14/2023,5.12,134.95,230,2
20007,WH_003,6/15/2025,6.76,59.04,294,2
20008,WH_018,10/12/2023,3.26,336.76,307,2
20009,WH_010,6/7/2023,5.95,349.61,46,2
20010,WH_003,7/12/2023,4.31,134.86,45,1
20011,WH_001,7/9/2025,4.3,69.99,129,2
20012,WH_020,7/8/2025,6.28,367.65,153,1
20013,WH_007,6/23/2025,3.97,306.86,36,3
20014,WH_019,8/1/2025,7.67,274.19,122,3
20015,WH_010,11/18/2024,8.07,335.58,150,2
20016,WH_017,12/7/2023,6.36,143.27,304,3
20017,WH_020,3/16/2023,4.79,192.1,371,1
20018,WH_014,9/24/2024,3.66,260.98,262,2
20019,WH_011,11/27/2023,6.78,100.86,195,3
20020,WH_010,1/22/2023,7.76,114.14,289,2
20021,WH_015,1/13/2024,8.53,173.16,52,3
20022,WH_018,3/10/2024,8.25,201.57,30,2
20023,WH_001,4/6/2023,2.56,90.91,132,2
20024,WH_011,2/22/2023,6.55,177.2,149,2
20025,WH_019,6/27/2025,4.82,360.51,135,3
20026,WH_014,5/11/2023,5.99,104.55,353,3
20027,WH_009,11/1/2024,3.34,149.2,325,2
20028,WH_020,6/16/2023,4.56,267.98,110,2
20029,WH_007,12/30/2024,8.13,277.33,260,3
20030,WH_018,8/24/2024,6.39,156.77,173,3
20031,WH_011,7/27/2024,5.41,122.74,316,3
20032,WH_003,2/2/2025,4.46,158.78,194,2
20033,WH_007,10/7/2024,6.86,112.72,307,2
20034,WH_013,10/30/2024,5.43,431.36,163,2
20035,WH_003,4/30/2025,7.94,302.99,149,3
20036,WH_002,4/22/2023,7.4,201.07,153,2
20037,WH_014,4/26/2024,5.28,183.6,135,2
20038,WH_007,9/20/2023,5.24,79.81,316,2
20039,WH_017,8/18/2025,6.59,308.93,105,2
20040,WH_005,9/27/2025,4.64,200.63,370,3
20041,WH_011,4/28/2024,5.72,228.22,217,2
20042,WH_020,6/30/2025,6.48,237.95,257,2
20043,WH_011,10/11/2023,6.95,291.21,279,2
20044,WH_016,2/24/2024,5.04,198.16,67,3
20045,WH_002,5/2/2023,8.38,435.58,88,1
20046,WH_012,8/6/2023,6.73,85.81,282,1
20047,WH_005,4/29/2024,3.32,127.29,341,1
20048,WH_003,8/18/2025,4.84,363.25,171,3
20049,WH_005,12/7/2023,4.35,392.64,295,2
20050,WH_017,1/24/2025,9.27,293.97,213,3
20051,WH_007,1/31/2025,4.99,206.5,83,3
20052,WH_019,10/18/2024,8.16,242.14,64,2
20053,WH_011,1/28/2025,2.36,89.18,133,1
20054,WH_007,2/16/2023,3.99,128.64,283,3
20055,WH_007,6/27/2025,7.67,249.63,325,2
20056,WH_020,5/11/2024,5.81,130.31,139,2
20057,WH_003,6/30/2024,6.91,58.58,166,2
20058,WH_008,2/16/2024,8.43,218.82,165,2
20059,WH_003,1/9/2025,4.81,98.53,384,2
20060,WH_011,6/14/2024,6.6,51.74,97,3
20061,WH_005,8/1/2023,7.56,497.63,370,1
20062,WH_013,10/4/2023,6.41,473.59,28,2
20063,WH_010,3/29/2023,7.19,277.06,106,2
20064,WH_004,6/6/2024,4,434.59,383,2
20065,WH_017,3/11/2023,7.25,231.57,211,2
20066,WH_008,11/16/2023,3.61,185.34,299,2
